combo_id,status,profit,prices
83,Optimal,4610.462066666668,"{""1-Local"": 6.62, ""1-Supermarket"": 6.82, ""1-Online"": 7.02, ""2-Local"": 16.08, ""2-Supermarket"": 6.8, ""2-Online"": 24.55}"
84,Optimal,4687.089400000002,"{""1-Local"": 6.62, ""1-Supermarket"": 6.82, ""1-Online"": 7.02, ""2-Local"": 16.08, ""2-Supermarket"": 8.63, ""2-Online"": 5.16}"
85,Optimal,4919.410066666665,"{""1-Local"": 6.62, ""1-Supermarket"": 6.82, ""1-Online"": 7.02, ""2-Local"": 16.08, ""2-Supermarket"": 8.63, ""2-Online"": 9.04}"
86,Optimal,5077.3773999999985,"{""1-Local"": 6.62, ""1-Supermarket"": 6.82, ""1-Online"": 7.02, ""2-Local"": 16.08, ""2-Supermarket"": 8.63, ""2-Online"": 12.92}"
87,Optimal,5095.504733333333,"{""1-Local"": 6.62, ""1-Supermarket"": 6.82, ""1-Online"": 7.02, ""2-Local"": 16.08, ""2-Supermarket"": 8.63, ""2-Online"": 16.79}"
88,Optimal,4954.432066666668,"{""1-Local"": 6.62, ""1-Supermarket"": 6.82, ""1-Online"": 7.02, ""2-Local"": 16.08, ""2-Supermarket"": 8.63, ""2-Online"": 20.67}"
89,Optimal,4672.378066666668,"{""1-Local"": 6.62, ""1-Supermarket"": 6.82, ""1-Online"": 7.02, ""2-Local"": 16.08, ""2-Supermarket"": 8.63, ""2-Online"": 24.55}"
90,Optimal,4694.176733333335,"{""1-Local"": 6.62, ""1-Supermarket"": 6.82, ""1-Online"": 7.02, ""2-Local"": 16.08, ""2-Supermarket"": 10.46, ""2-Online"": 5.16}"
91,Optimal,4936.6674,"{""1-Local"": 6.62, ""1-Supermarket"": 6.82, ""1-Online"": 7.02, ""2-Local"": 16.08, ""2-Supermarket"": 10.46, ""2-Online"": 9.04}"
92,Optimal,5093.644733333333,"{""1-Local"": 6.62, ""1-Supermarket"": 6.82, ""1-Online"": 7.02, ""2-Local"": 16.08, ""2-Supermarket"": 10.46, ""2-Online"": 12.92}"
93,Optimal,5075.070733333332,"{""1-Local"": 6.62, ""1-Supermarket"": 6.82, ""1-Online"": 7.02, ""2-Local"": 16.08, ""2-Supermarket"": 10.46, ""2-Online"": 16.79}"
